severity,code,record_type,record_id,record_ref,stage,owner,retry_status,message
high,record_held_from_load,variant,6753,woo:6753,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6754,woo:6754,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6755,woo:6755,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6756,woo:6756,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6757,woo:6757,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6759,woo:6759,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6760,woo:6760,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6761,woo:6761,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6762,woo:6762,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6765,woo:6765,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6766,woo:6766,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6774,woo:6774,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6775,woo:6775,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6776,woo:6776,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6778,woo:6778,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6793,woo:6793,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6794,woo:6794,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6795,woo:6795,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6796,woo:6796,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6797,woo:6797,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6798,woo:6798,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6799,woo:6799,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,variant_missing_option_value,variant,1965,PROS-PROT00WAM-1965,transform,client,needs-decision,"WooCommerce 'Any' variation: no value for option(s) Size. Shopify has no equivalent, so the variant is held; expand it into explicit variants at source or approve an expansion rule"
high,variant_missing_option_value,variant,1967,PROS-PROT00WAM-1967,transform,client,needs-decision,"WooCommerce 'Any' variation: no value for option(s) Size. Shopify has no equivalent, so the variant is held; expand it into explicit variants at source or approve an expansion rule"
high,variant_missing_option_value,variant,1970,PROS-PROT00WAM-1970,transform,client,needs-decision,"WooCommerce 'Any' variation: no value for option(s) Size. Shopify has no equivalent, so the variant is held; expand it into explicit variants at source or approve an expansion rule"
high,variant_missing_option_value,variant,1998,PROS-PROT03VJU-1998,transform,client,needs-decision,"WooCommerce 'Any' variation: no value for option(s) Size. Shopify has no equivalent, so the variant is held; expand it into explicit variants at source or approve an expansion rule"
high,variant_missing_option_value,variant,1999,PROS-PROT03VJU-1999,transform,client,needs-decision,"WooCommerce 'Any' variation: no value for option(s) Size. Shopify has no equivalent, so the variant is held; expand it into explicit variants at source or approve an expansion rule"
high,variant_missing_option_value,variant,2006,PROS-PROT03VCZ-2006,transform,client,needs-decision,"WooCommerce 'Any' variation: no value for option(s) Size. Shopify has no equivalent, so the variant is held; expand it into explicit variants at source or approve an expansion rule"
high,variant_missing_option_value,variant,2007,PROS-PROT03VCZ-2007,transform,client,needs-decision,"WooCommerce 'Any' variation: no value for option(s) Size. Shopify has no equivalent, so the variant is held; expand it into explicit variants at source or approve an expansion rule"
high,variant_missing_option_value,variant,2013,PROS-PROT03TRW-2013,transform,client,needs-decision,"WooCommerce 'Any' variation: no value for option(s) Size. Shopify has no equivalent, so the variant is held; expand it into explicit variants at source or approve an expansion rule"
high,variant_missing_option_value,variant,2014,PROS-PROT03TRW-2014,transform,client,needs-decision,"WooCommerce 'Any' variation: no value for option(s) Size. Shopify has no equivalent, so the variant is held; expand it into explicit variants at source or approve an expansion rule"
high,variant_missing_option_value,variant,2015,PROS-PROT03TRW-2015,transform,client,needs-decision,"WooCommerce 'Any' variation: no value for option(s) Size. Shopify has no equivalent, so the variant is held; expand it into explicit variants at source or approve an expansion rule"
high,variant_missing_option_value,variant,2016,PROS-PROT03TRW-2016,transform,client,needs-decision,"WooCommerce 'Any' variation: no value for option(s) Size. Shopify has no equivalent, so the variant is held; expand it into explicit variants at source or approve an expansion rule"
high,variant_missing_option_value,variant,2017,PROS-PROT03TRW-2017,transform,client,needs-decision,"WooCommerce 'Any' variation: no value for option(s) Size. Shopify has no equivalent, so the variant is held; expand it into explicit variants at source or approve an expansion rule"
high,variant_missing_option_value,variant,2018,PROS-PROT03TRW-2018,transform,client,needs-decision,"WooCommerce 'Any' variation: no value for option(s) Size. Shopify has no equivalent, so the variant is held; expand it into explicit variants at source or approve an expansion rule"
high,variant_missing_option_value,variant,2031,PROS-T03TRM-2031,transform,client,needs-decision,"WooCommerce 'Any' variation: no value for option(s) Size. Shopify has no equivalent, so the variant is held; expand it into explicit variants at source or approve an expansion rule"
high,variant_missing_option_value,variant,2032,PROS-T03TRM-2032,transform,client,needs-decision,"WooCommerce 'Any' variation: no value for option(s) Size. Shopify has no equivalent, so the variant is held; expand it into explicit variants at source or approve an expansion rule"
